ID,Grade Level,Title (Raw Strings),Title (Clean),Salary (Minimum),Salary (Increment),Salary (Maximum),Reference,Effective Date (YYYY-MM-DD)
MMR_CIVSRVT_0072,4,လက်ထောက်ညွှန်ကြားရေးမှူး,လက်ထောက်ညွှန်ကြားရေးမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0073,4,ဒု-အထွေထွေမန်နေဂျာ,ဒုတိယအထွေထွေမန်နေဂျာ," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0074,4,လက်ထောက်အထွေထွေမန်နေဂျာ,လက်ထောက်အထွေထွေမန်နေဂျာ," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0075,4,မန်နေဂျာ,မန်နေဂျာ," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0076,4,ဌာနမှူး,ဌာနမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0077,4,လထဌာနမှူး,လက်ထောက်ဌာနမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0078,4,ဒု-ဌာနမှူး,ဒုတိယဌာနမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0079,4,ဒု-ရဲမှူးကြီး,ဒုတိယရဲမှူးကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0080,4,သံမှူး,သံမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0081,4,တွဲဖက်ပါမောက္ခ,တွဲဖက်ပါမောက္ခ," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0082,4,ဒု-ပါမောက္ခ,ဒုတိယပါမောက္ခ," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0083,4,ကထိက,ကထိက," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0084,4,ကျောင်းအုပ်ကြီး,ကျောင်းအုပ်ကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0085,4,ဒု-ကျောင်းအုပ်ကြီး,ဒုတိယကျောင်းအုပ်ကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0086,4,ဆေးရုံအုပ်ကြီး,ဆေးရုံအုပ်ကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0087,4,အထူးကုဆရာဝန်ကြီး,အထူးကုဆရာဝန်ကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
