sd_pcode,state_divi,d_pcode,district,ts_pcode,township,town_pcode,town,town_mmr4,longitude,latitude,level,air_bool,ctrl_tnla,ctrl_mndaa,ctrl_uwsa
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,MMR003002703,Shan Ywar Thit,ရှမ်းရွာသစ်,17.42438,97.88778,Other Town,0,0,0,0
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,MMR001004702,Shin Bway Yang,ရှင်ဗွေယန်,26.69478,96.2094,Other Town,0,0,0,0
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,MMR005034702,Shwe Pyi Aye,ရွှေပြည်အေး,24.68343537,94.73146774,Other Town,0,0,0,0
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,MMR005004701,Shwebo,ရွှေဘို,22.56996,95.69849,District Capital,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008006,Shwedaung,MMR008006701,Shwedaung,ရွှေတောင်,18.7051,95.21404,Main Town,0,0,0,0
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,MMR001011701,Shwegu,ရွှေကူ,24.20695,96.80606,Main Town,0,0,0,0
MMR007,Bago (East),MMR007D001,Bago,MMR007008,Shwegyin,MMR007008701,Shwegyin,ရွှေကျင်,17.92304,96.87767,Main Town,0,0,0,0
MMR014,Shan (South),MMR014D001,Taunggyi,MMR014001,Taunggyi,MMR014001704,Shwenyaung,ရွှေညောင်,20.76015,96.93614,Other Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,MMR017001702,Shwethaungyan,ရွှေသောင်ယံ,17.07674,94.46133,Other Town,0,0,0,0
MMR009,Magway,MMR009D002,Minbu,MMR009011,Sidoktaya,MMR009011701,Sidoktaya,စေတုတ္ထရာ,20.4466,94.24559,Main Town,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008005,Thegon,MMR008005704,Sin Mee Swea,ဆင်မြီးဆွဲ,18.7369,95.3594,Other Town,0,0,0,0
MMR009,Magway,MMR009D003,Thayet,MMR009017,Sinbaungwe,MMR009017701,Sinbaungwe,ဆင်ပေါင်ဝဲ,19.72291986,95.16185986,Main Town,0,0,0,0
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,MMR001001702,Sinbo,ဆင်ဘို,24.77923,97.03917,Other Town,0,0,0,0
MMR009,Magway,MMR009D002,Minbu,MMR009010,Salin,MMR009010702,Sinphyukyun,ဆင်ဖြူကျွန်း,20.66419969,94.69290491,Other Town,0,0,0,0
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008009,Minhla,MMR008009702,Sit Kwin,စစ်ကွင်း,17.8941,95.7232,Other Town,0,0,0,0
MMR012,Rakhine,MMR012D001,Sittwe,MMR012001,Sittwe,MMR012001701,Sittwe,စစ်တွေ,20.13727,92.88551,State/Region Capital,0,0,0,0
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,MMR003005702,Su Ka Li,စုကလိ,16.15439,98.59621,Other Town,0,0,0,0
MMR005,Sagaing,MMR005S001,Naga Self-Administered Zone,MMR005035,Lay Shi,MMR005035703,Sum Ma Rar,ဆွမ္မရာ,25.36455,94.68729,Other Town,0,0,0,0
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,MMR001015701,Sumprabum,ဆွမ်ပရာဘွမ်,26.54373,97.5677,Main Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,MMR017008702,Ta Loke Htaw,တလုတ္ထော်,17.6419,95.3046,Other Town,0,0,0,0
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,MMR005010701,Tabayin,ဒီပဲယင်း,22.68529,95.32121,Main Town,0,0,0,0
MMR016,Shan (East),MMR016D003,Tachileik,MMR016009,Tachileik,MMR016009701,Tachileik,တာချီလိတ်,20.45304,99.88403,District Capital,0,0,0,0
